Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
SOLARINDS,21,13225.38,12360,277733,259560,-18173,-6.54,-4.48
HDFCBANK,139,823.75,753,114501.45,104667,-9834.45,-8.59,-3.52
PAYTM,100,1048.9,996.3,104890,99630,-5260,-5.01,-5.5
AIAENG,13,3570.1,3310,46411.3,43030,-3381.3,-7.29,-3.42
APOLLOHOSP,12,7297.66,7085.5,87571.95,85026,-2545.95,-2.91,-3.79
ITC,292,301.03,292.8,87901.5,85497.6,-2403.9,-2.73,-2.38
NTPC,172,382.9,370.8,65858.9,63777.6,-2081.3,-3.16,-2.66
BEL,105,427.74,408.35,44912.9,42876.75,-2036.15,-4.53,-4.17
BHARTIARTL,65,1835.71,1806.5,119321.3,117422.5,-1898.8,-1.59,-2.17
MAZDOCK,12,2339.21,2218.1,28070.5,26617.2,-1453.3,-5.18,-4.56
LT,6,3479.43,3311.7,20876.6,19870.2,-1006.4,-4.82,-3.58
AKZOINDIA,13,2842.49,2776.3,36952.4,36091.9,-860.5,-2.33,-3.77
ADANIGREEN,17,867.65,818.5,14750.05,13914.5,-835.55,-5.66,-5.19
ICICIBANK,31,1250.49,1224.7,38765.2,37965.7,-799.5,-2.06,-1.67
BAJFINANCE,17,842.04,795.85,14314.6,13529.45,-785.15,-5.48,-4.18
HINDUNILVR,14,2099.63,2044.55,29394.8,28623.7,-771.1,-2.62,-1.89
GICRE,100,365.55,358.8,36554.5,35880,-674.5,-1.85,-3.59
MAYURUNIQ,50,503.85,492.6,25192.5,24630,-562.5,-2.23,-3.29
SUZLON,462,41.16,40.12,19017.29,18535.44,-481.85,-2.53,-4.41
ASTRAMICRO,14,925.5,896.15,12957,12546.1,-410.9,-3.17,0.6
ASIANPAINT,4,2233.9,2132.9,8935.6,8531.6,-404,-4.52,-2.85
NMDC,1006,75.5,75.1,75950.74,75550.6,-400.14,-0.53,-5.95
SUNPHARMA,21,1780.01,1762.6,37380.2,37014.6,-365.6,-0.98,-0.84
ADANIPORTS,4,1371.95,1295.9,5487.8,5183.6,-304.2,-5.54,-5.09
KEI,2,4113,3967,8226,7934,-292,-3.55,-5.28
IOC,34,144.94,138.75,4927.89,4717.5,-210.39,-4.27,-4.11
AVANTIFEED,11,1157,1141,12727.05,12551,-176.05,-1.38,-5.39
RELIANCE,15,1405.57,1394.3,21083.5,20914.5,-169,-0.8,-1.43
GLENMARK,3,2164.93,2112.7,6494.8,6338.1,-156.7,-2.41,-3.13
TATASTEEL,91,189.69,188.2,17261.85,17126.2,-135.65,-0.79,-4.36
BANKBARODA,13,278.86,268.6,3625.2,3491.8,-133.4,-3.68,-4.11
GAIL,12,147.57,136.5,1770.82,1638,-132.82,-7.5,-4.55
AEGISLOG,4,614.25,583.55,2457,2334.2,-122.8,-5,-4.6
AUBANK,5,882.4,860.4,4412,4302,-110,-2.49,-4.56
JKTYRE,4,422.86,397,1691.45,1588,-103.45,-6.12,-4.85
ATULAUTO,4,419.64,394.9,1678.55,1579.6,-98.95,-5.89,-5.31
ESABINDIA,2,5223.65,5182.5,10447.3,10365,-82.3,-0.79,-4.13
NCLIND,6,175.99,162.4,1055.94,974.4,-81.54,-7.72,-4.47
ZYDUSLIFE,5,893.89,878.05,4469.45,4390.25,-79.2,-1.77,-1.41
ASHOKLEY,6,175.46,162.65,1052.73,975.9,-76.83,-7.3,-3.7
HUDCO,10,173.95,166.5,1739.5,1665,-74.5,-4.28,-3.48
LTFOODS,3,391.17,366.8,1173.5,1100.4,-73.1,-6.23,-3.22
PNCINFRA,6,186.79,176.5,1120.73,1059,-61.73,-5.51,-5.31
MOREPENLAB,18,37.89,35.34,681.96,636.12,-45.84,-6.72,-4.51
NAVKARCORP,9,85.18,80.42,766.63,723.78,-42.85,-5.59,-2.98
TCS,15,2389.37,2386.55,35840.6,35798.25,-42.35,-0.12,-0.17
GPPL,6,152.44,145.7,914.66,874.2,-40.46,-4.42,-4.18
BERGEPAINT,4,415.73,406.6,1662.9,1626.4,-36.5,-2.19,-2.42
ALEMBICLTD,10,79.83,76.21,798.26,762.1,-36.16,-4.53,-4.62
SAIL,5,152.78,147,763.89,735,-28.89,-3.78,-5.5
SJVN,11,69.45,66.89,763.91,735.79,-28.12,-3.68,-4.55
GIPCL,6,131.89,127.4,791.32,764.4,-26.92,-3.4,-4.32
WELSPUNLIV,8,111.17,108.8,889.35,870.4,-18.95,-2.13,-5.06
NHPC,10,76.75,75.21,767.47,752.1,-15.37,-2,-2.08
CAPLIPOINT,0,1649.8,1562,0,0,0,-5.32,-2.64
HAL,0,3904.91,3622.85,0,0,0,-7.22,-4.24
CUMMINSIND,2,4428.15,4450,8856.3,8900,43.7,0.49,-3.58
INFY,32,1245.71,1248,39862.7,39936,73.3,0.18,-0.63
HCLTECH,5,1335.2,1350.7,6676,6753.5,77.5,1.16,1.25
JINDALSAW,10,171.8,182.36,1718,1823.6,105.6,6.15,-6.06
FEDERALBNK,18,247.01,257.2,4446.1,4629.6,183.5,4.13,-3.71
NITINSPIN,11,336,353.15,3696,3884.65,188.65,5.1,-4.17
FINCABLES,5,792,833.6,3960,4168,208,5.25,-5.25
ONGC,99,263.84,267.15,26119.85,26447.85,328,1.26,0.66
ATUL,1,5853,6185.5,5853,6185.5,332.5,5.68,-0.95
POWERGRID,12,268.5,297.45,3222,3569.4,347.4,10.78,-0.05
AUROPHARMA,6,1210.43,1271.5,7262.6,7629,366.4,5.05,-1.54
LUPIN,2,2067.9,2290.2,4135.8,4580.4,444.6,10.75,-1.39
DATAPATTNS,4,2880.9,3070.6,11523.6,12282.4,758.8,6.58,-4.96
KIRLOSENG,4,1066,1300,4264,5200,936,21.95,-5.91
TITAN,22,3785.18,3914.1,83273.9,86110.2,2836.3,3.41,-4.72
HINDALCO,100,816.38,845.25,81637.75,84525,2887.25,3.54,-3.32
AJANTPHARM,14,2570.21,2814.7,35982.95,39405.8,3422.85,9.51,-3.1
TATAPOWER,305,376.47,388,114822.9,118340,3517.1,3.06,-3.66
CUPID,500,69.8,78,34900,39000,4100,11.75,-2.01
SBIN,333,1003.62,1021.8,334206.35,340259.4,6053.05,1.81,-3.46
COALINDIA,155,405.99,454.25,62928,70408.75,7480.75,11.89,-2.97
NATIONALUM,200,310.6,351.35,62119.55,70270,8150.45,13.12,-4.65
PREMIERPOL,601,42.9,58.8,25782.09,35338.8,9556.71,37.07,-1.93
PARAS,1,587.7,586.65,,,,,
ZENTEC,1,1357,1354.9,,,,,
